"Bench","Genotype","Row","Col","True_Spatial","BNI"
"Bench1","G06",1,1,5.22857142857143,57.1678361497158
"Bench1","G86",2,1,4.62857142857143,72.8937788037856
"Bench1","G38",3,1,4.02857142857143,44.8208450767449
"Bench1","G90",4,1,3.42857142857143,66.2719693336514
"Bench1","G84",5,1,2.82857142857143,64.5385736716832
"Bench1","G15",6,1,2.22857142857143,50.3404895059446
"Bench1","G34",1,2,5.01428571428571,58.6252924364682
"Bench1","G42",2,2,3.12857142857143,55.3719789120186
"Bench1","G60",3,2,2.52857142857143,70.3763634122192
"Bench1","G12",4,2,1.92857142857143,83.290362366534
"Bench1","G26",5,2,1.32857142857143,48.8292785074273
"Bench1","G41",6,2,2.01428571428571,65.5470810453501
"Bench1","G65",1,3,4.8,55.0834609707557
"Bench1","G66",2,3,1.62857142857143,74.9663135124968
"Bench1","G56",3,3,1.02857142857143,48.0547915085812
"Bench1","G24",4,3,0.428571428571427,68.9837501262281
"Bench1","G25",5,3,-0.171428571428573,77.3740132568333
"Bench1","G61",6,3,1.8,50.4882069991568
"Bench1","G62",1,4,4.58571428571428,59.6208322154283
"Bench1","G14",2,4,0.385714285714284,46.6997634899992
"Bench1","G89",3,4,-0.471428571428573,64.2925958307016
"Bench1","G77",4,4,-1.07142857142857,56.1938506990445
"Bench1","G32",5,4,-1.41428571428571,60.7516949900856
"Bench1","G27",6,4,1.58571428571429,58.8629556717677
"Bench1","G10",1,5,4.37142857142857,59.3889797812131
"Bench1","G57",2,5,0.171428571428571,59.4204303206205
"Bench1","G28",3,5,-1.97142857142857,31.626929934528
"Bench1","G54",4,5,-2.57142857142857,66.7822565196701
"Bench1","G37",5,5,-1.62857142857143,43.6618745965757
"Bench1","G69",6,5,1.37142857142857,68.9885960764483
"Bench1","G49",1,6,4.15714285714286,62.1871648195431
"Bench1","G82",2,6,-0.0428571428571445,58.8861768620546
"Bench1","G05",3,6,-3.47142857142857,62.1418843868583
"Bench1","G35",4,6,-4.07142857142857,54.7501432763377
"Bench1","G71",5,6,-1.84285714285714,38.7916402086699
"Bench1","G76",6,6,1.15714285714286,58.1018986312776
"Bench1","G64",1,7,3.94285714285714,83.0651816807474
"Bench1","G33",2,7,-0.257142857142856,62.2256767405836
"Bench1","G72",3,7,-4.45714285714286,53.2729134745668
"Bench1","G78",4,7,-5.05714285714286,55.207917563606
"Bench1","G80",5,7,-2.05714285714286,37.4156011313912
"Bench1","G31",6,7,0.942857142857143,65.0479683436702
"Bench1","G45",1,8,3.72857142857143,49.4900211200336
"Bench1","G43",2,8,-0.471428571428572,58.165432661078
"Bench1","G68",3,8,-4.67142857142857,63.0393681241176
"Bench1","G17",4,8,-5.27142857142857,43.3558138929325
"Bench1","G67",5,8,-2.27142857142857,56.6659993390924
"Bench1","G30",6,8,0.728571428571428,53.3372710485814
"Bench1","G36",1,9,3.51428571428571,32.1689333410188
"Bench1","G20",2,9,-0.685714285714285,70.288416559659
"Bench1","G11",3,9,-4.88571428571429,64.9525737189273
"Bench1","G48",4,9,-5.48571428571429,61.8942838673016
"Bench1","G09",5,9,-2.48571428571429,74.2229386925685
"Bench1","G39",6,9,0.514285714285714,25.3837840359385
"Bench1","G13",1,10,3.3,42.4571562046235
